"","Finished","ProlificID","MusicLexicon","MUVA1_1","MUVA11_1","MUVA14_1","MUVA23_1","MUVA31_1","MUVA69_1","MUVA109_1","MUVA105_1","MUVA41_1","MUVA42_1","MUAR1_1","MUAR11_1","MUAR14_1","MUAR23_1","MUAR31_1","MUAR69_1","MUAR109_1","MUAR105_1","MUAR41_1","MUAR42_1","TAS1_1","TAS2_1","TAS3_1","TAS4_1","TAS5_1","TAS6_1","TAS7_1","TAS8_1","TAS9_1","TAS10_1","TAS11_1","TAS12_1","TAS13_1","TAS14_1","TAS15_1","TAS16_1","TAS17_1","TAS18_1","TAS19_1","TAS20_1","UserLanguage","Age","Gender","MusicExperience1","Yearsplayed","HoursListened","WC","posemo","negemo","ID"
"135",1,"56a755515ad8d9000596ddb3","love hate pride, patriotism",2,-1,-1,3,-1,0,-1,3,3,2,3,0,3,3,-1,1,-2,2,1,1,3,4,3,4,5,4,5,5,3,4,3,3,4,4,4,3,3,4,4,4,"EN",8,1,0,NA,4,8,12.5,75,129
"136",1,"578163a5c6144900014a0d21","Anger, happiness, anxiousness, sadness, regret, contempt, jelousy, remorse, ",-3,-1,-2,3,-2,-1,0,3,2,2,3,2,2,2,-2,1,-3,2,0,-2,3,5,3,1,5,1,1,2,2,5,2,3,1,3,3,2,5,5,4,3,"EN",3,0,1,1,3,6,16.67,83.33,130
"137",1,"59f89f2b9618dc0001d33fde","joyful sadness regret loss guilt fear",-2,0,-1,2,-1,-2,-3,1,-2,-1,2,2,1,2,-1,2,-2,2,-1,-1,4,2,5,4,4,2,5,2,4,4,2,2,2,4,2,4,2,5,4,2,"EN",4,1,1,2,2,13,46.15,38.46,131
"138",1,"59cbc68b0aaf750001213f8e","Happiness, love, sadness, grief, pride, jealousy, excitement, relief, lust, positive, heartbroken, patriotic, scared, ",1,-2,-3,2,-2,-2,-2,3,-1,1,3,-2,3,3,-3,2,-1,2,-2,1,2,2,1,5,2,1,2,3,2,5,1,1,2,1,1,2,2,5,4,1,"EN",7,1,0,NA,4,10,40,30,132
"139",1,"599f0ccaec2f75000124ed78","happiness, excitement, sadness, lust, envy, love, wanting, desire, anger, awkardness, ",-2,-1,-1,3,-2,-2,-2,3,0,0,3,-2,1,3,-1,2,-3,2,-1,-2,4,4,3,3,2,3,1,2,4,4,3,1,1,3,3,4,5,3,4,3,"EN",1,1,1,2,7,8,50,25,133
"140",1,"59de6e6a16ecc200016fec24","Love Passion Heartache Joy Happiness Anxiety Worry Lust ",1,1,1,0,0,1,0,-1,-1,0,1,1,1,0,0,0,1,0,0,0,4,4,3,2,3,3,3,2,4,4,3,3,3,3,4,4,4,4,4,3,"EN",7,1,1,4,2,4,50,0,134
"141",1,"59a9b6b39fdf6c0001cba807","Love, Hatrid, happy, chilled",0,0,-1,1,0,-1,0,0,0,0,0,0,-1,1,0,-1,0,0,0,0,2,4,3,2,4,1,4,1,3,4,4,4,4,5,5,4,5,5,3,2,"EN",7,1,0,NA,4,12,25,66.67,135
"142",1,"59dd27b2be399f0001e496ae","happy sad angry hurt love lust confused irritated hopeful disappointed remorseful regretful",-1,1,-1,0,2,1,0,0,0,1,-1,0,-2,-1,2,1,1,-1,-1,3,3,4,4,2,2,1,4,3,4,3,3,2,2,3,5,3,4,3,3,4,"EN",3,1,0,NA,1,10,20,30,136
"143",1,"595ee28e7ab4ce00017b8276","Happiness, Curiosity, Sadness, Anger, Depression, Calmness, Enthusiasm, Feelings of Disgus",-2,-3,-1,2,-1,-1,-3,2,0,0,3,1,1,2,-2,3,-3,2,-1,0,3,4,1,2,4,1,1,2,1,5,3,1,1,2,3,3,4,5,4,1,"EN",5,1,1,2,4,9,33.33,44.44,137
"144",1,"53a8a3a5fdf99b5cf1a36ed5","Anger, Calmness, Sadness, Love, Romance, Bitterness, Freeness, Pride, Sorrow, ",0,-1,-1,1,-1,0,-1,1,2,1,2,1,1,3,0,1,-1,2,-2,0,4,5,2,2,4,5,4,2,4,3,4,3,4,4,3,3,4,4,4,2,"EN",7,1,1,1,2,7,28.57,28.57,138
"145",1,"5884be522527340001c05540","joy, happiness, lust, dispair, depression, sadness, elation, ",2,-3,1,3,-1,-3,0,3,1,3,1,3,3,3,-2,1,-3,3,-2,1,4,5,5,4,5,1,4,4,1,4,1,5,1,1,1,1,4,5,5,4,"EN",2,1,1,1,4,6,50,33.33,139
"146",1,"59f4ed50680a95000122adfb","Love,loneliness, hate, happy, excitement, exploration, ",0,-1,-1,2,0,-1,-1,2,2,2,1,1,2,2,2,3,-1,2,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"EN",1,0,1,2,3,9,55.56,33.33,140
"147",1,"5a0ab9d1844c7a00015e4bd4","Joy,happiness anger sadness pain chills relaxing optimism excitement ",0,-3,-1,3,1,1,-1,2,1,0,3,2,2,3,0,1,0,3,1,0,3,4,4,3,4,4,4,3,4,3,4,3,2,2,4,2,5,2,3,2,"EN",7,0,1,1,3,8,37.5,62.5,141
"148",1,"5a016196087f2e0001eada78","Love hate hurt sadness happiness nervousness caring fooled ",-3,-3,-2,2,-3,-2,-3,3,1,2,2,-2,3,3,0,1,0,3,-1,1,4,5,3,2,5,4,3,5,3,5,3,2,3,4,5,3,4,5,5,3,"EN",7,1,1,6,5,10,30,60,142
"149",1,"59bfcb768e6ea10001f7b0e7","Happy, Sad, Angry, Content, Love, Lonely, Jealousy, Confused, Depressed, Ecstatic",0,1,-1,1,2,-2,2,-1,-1,0,-1,1,-2,0,2,-3,1,0,1,1,5,5,3,2,4,4,2,2,4,4,4,2,4,3,3,1,5,3,4,4,"EN",4,1,1,2,5,5,60,40,143
"150",1,"59d40431f35ff40001914c85","happy, sad, joy, excited, upset, ",-3,-3,-2,3,1,-3,-2,1,1,0,-3,-3,-3,3,-1,-3,-2,2,-1,-1,4,5,1,2,4,4,2,4,4,4,5,4,4,5,4,2,4,2,4,2,"EN",2,1,0,NA,2,1,0,0,144
"151",1,"59cb7b375e01580001977955","-99",2,-3,0,2,2,-1,0,2,3,2,1,0,-1,1,0,-1,-2,1,0,2,2,5,5,1,4,4,2,4,4,5,4,4,2,2,3,2,2,4,2,3,"EN",2,1,1,2,4,5,20,60,145
